Período,Fecha de nacimiento,Sexo,NivelFormativo,Discapacidad,Inmigrante,Perceptor,DificilInsercion,Tipo acción,Colocacion,FechaColocacion,FechaFinContrato,TipoContrato,,
11/21,24/06/1973,Hombre,Estudios secundarios,N,N,N,S,Colocación,S,20211102,,Contrato de duración determinada a tiempo completo,,
11/21,07/01/1970,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,02/03/1972,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,31/03/1978,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,19/12/1976,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,07/07/1982,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,13/01/1983,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,07/12/1979,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,14/09/1979,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,14/06/1976,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,03/11/1973,Hombre,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,25/01/1976,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,11/06/1972,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,12/02/1969,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,11/10/1970,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,03/06/1963,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,21/02/1971,Hombre,Estudios primarios,N,S,N,S,Intento colocación,N,,,,,
11/21,12/06/1984,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,26/08/1984,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,18/01/1974,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,27/08/1958,Mujer,Estudios primarios,N,N,N,S,Alta,N,,,,,
11/21,15/11/1975,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,29/08/1974,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
11/21,27/10/1981,Hombre,Estudios primarios,N,N,S,N,Alta,N,,,,,
11/21,07/04/1976,Mujer,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
11/21,26/06/1982,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,29/03/1973,Hombre,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,02/08/1985,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,29/04/1976,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
11/21,15/01/1984,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,23/06/1966,Mujer,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,28/01/1980,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,16/09/1965,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,06/09/1973,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,01/01/1983,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,31/08/1981,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,23/06/1963,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,25/07/1979,Mujer,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,14/03/1958,Mujer,Estudios post-secundarios,S,N,S,S,Intento colocación,N,,,,,
11/21,31/05/1972,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,12/06/1967,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,25/09/1968,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,08/11/1975,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,19/07/1967,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,04/08/1972,Hombre,Estudios secundarios,N,S,N,S,Intento colocación,N,,,,,
11/21,24/10/1965,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,09/09/1980,Hombre,Estudios secundarios,N,N,N,N,Alta,N,,,,,
11/21,09/09/1980,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,28/02/1961,Hombre,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,26/01/1971,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,27/04/1973,Hombre,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,27/03/1975,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,12/03/1981,Hombre,Estudios secundarios,S,N,S,S,Colocación,S,20211108,,Contrato de duración determinada a tiempo completo,,
11/21,12/03/1981,Hombre,Estudios secundarios,S,N,S,S,Intento colocación,N,,,,,
11/21,06/11/1974,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,01/01/1977,Hombre,Estudios primarios,N,N,N,N,Intento colocación,N,,,,,
11/21,25/06/1982,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,22/09/1977,Hombre,Estudios primarios,S,S,N,S,Alta,N,,,,,
11/21,20/11/1982,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,05/11/1986,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,25/08/1981,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,09/06/1970,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,19/03/1967,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,01/01/1978,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,11/02/1979,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,24/07/1971,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,02/05/1975,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,14/06/1959,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,13/12/1974,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,20/06/1971,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
11/21,20/06/1971,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,15/10/1961,Mujer,Estudios secundarios,N,N,N,S,Colocación,S,20211124,,Contrato de duración determinada a tiempo parcial,,
11/21,21/07/1965,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,21/12/1973,Hombre,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,24/04/1969,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
11/21,01/06/1971,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,23/10/1964,Hombre,Estudios secundarios,N,S,N,S,Intento colocación,N,,,,,
11/21,11/10/1983,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,13/03/1981,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,11/11/1967,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,02/01/1963,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
11/21,17/04/1981,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,06/02/1967,Hombre,Estudios primarios,S,N,N,S,Intento colocación,N,,,,,
11/21,29/04/1984,Mujer,Estudios primarios,N,N,N,S,Colocación,S,20211125,,Contrato de duración determinada a tiempo parcial,,
11/21,05/04/1972,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,04/09/1970,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,07/09/1988,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,24/10/1985,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,26/03/1962,Mujer,Estudios primarios,N,N,N,S,Alta,N,,,,,
11/21,08/09/1969,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,26/04/1972,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,24/08/1981,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,11/07/1982,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,07/04/1970,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,21/06/1962,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,09/08/1979,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,09/01/1970,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,04/12/1974,Mujer,Estudios secundarios,N,N,N,S,Colocación,S,20211124,,Contrato de duración determinada a tiempo parcial,,
11/21,30/05/1968,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,04/04/1990,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,07/04/1985,Mujer,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
11/21,08/07/1986,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,03/10/1967,Hombre,Estudios post-secundarios,N,S,N,S,Intento colocación,N,,,,,
11/21,13/06/1969,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,11/01/1968,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,31/07/1969,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,28/05/1973,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,04/03/1988,Hombre,Estudios secundarios,S,N,N,S,Alta,N,,,,,
11/21,30/06/1970,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,09/06/1978,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,20/04/1985,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,31/10/1967,Mujer,Estudios post-secundarios,S,S,N,S,Intento colocación,N,,,,,
11/21,15/08/1978,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,29/05/1974,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
11/21,29/05/1974,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,16/06/1966,Hombre,Estudios secundarios,N,S,N,S,Intento colocación,N,,,,,
11/21,27/12/1975,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,12/02/1989,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,06/03/1962,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,07/11/1980,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,15/12/1984,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
11/21,28/11/1988,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,15/02/1986,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,25/10/1984,Mujer,Estudios secundarios,N,S,S,S,Intento colocación,N,,,,,
11/21,05/05/1967,Hombre,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,14/03/1968,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,09/11/1972,Hombre,Estudios secundarios,N,N,N,S,Colocación,S,20211125,,Contrato de duración determinada a tiempo parcial,,
11/21,09/11/1972,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,25/08/1965,Hombre,Estudios primarios,S,S,N,S,Intento colocación,N,,,,,
11/21,21/01/1969,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,21/11/1988,Mujer,Estudios primarios,S,N,N,S,Intento colocación,N,,,,,
11/21,09/09/1988,Hombre,Estudios primarios,N,N,N,N,Intento colocación,N,,,,,
11/21,23/11/1987,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,21/05/1971,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,05/04/1973,Hombre,Estudios secundarios,N,S,S,S,Alta,N,,,,,
11/21,14/06/1980,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,24/03/1961,Mujer,Estudios primarios,N,N,S,S,Intento colocación,N,,,,,
11/21,30/12/1972,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,21/07/1990,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,23/04/1976,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,10/09/1968,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
11/21,14/09/1973,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,17/07/1973,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,16/03/1965,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
11/21,17/09/1957,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,08/06/1971,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,25/06/1975,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,17/12/1965,Mujer,Estudios primarios,S,N,N,S,Intento colocación,N,,,,,
11/21,08/12/1967,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
11/21,09/07/1976,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,15/07/1983,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,03/11/1988,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,11/06/1985,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,11/03/1960,Hombre,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,17/03/1981,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,09/04/1987,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,29/09/1958,Hombre,Estudios primarios,N,N,S,S,Intento colocación,N,,,,,
11/21,18/06/1972,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
11/21,28/03/1970,Mujer,Estudios primarios,N,N,N,S,Colocación,S,20211122,,Contrato de duración determinada a tiempo parcial,,
11/21,28/03/1970,Mujer,Estudios primarios,N,N,N,S,Alta,N,,,,,
11/21,24/08/1971,Hombre,Estudios primarios,N,S,N,S,Intento colocación,N,,,,,
11/21,10/05/1969,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
11/21,09/09/1961,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,30/07/1960,Hombre,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,11/03/1957,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
11/21,07/12/1976,Mujer,Estudios secundarios,N,S,N,S,Alta,N,,,,,
11/21,28/07/1977,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,25/06/1968,Mujer,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,05/05/1989,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,22/12/1970,Hombre,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,21/01/1967,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
11/21,11/10/1990,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,02/11/1968,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,03/01/1973,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,06/06/1977,Mujer,Estudios secundarios,N,S,N,S,Intento colocación,N,,,,,
11/21,17/09/1976,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
11/21,12/07/1966,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,08/11/1988,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,15/07/1973,Hombre,Estudios primarios,N,N,S,S,Intento colocación,N,,,,,
11/21,01/01/1972,Mujer,Estudios primarios,N,S,N,S,Alta,N,,,,,
11/21,24/10/1970,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,22/08/1967,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,07/10/1965,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,26/05/1982,Mujer,Estudios secundarios,N,N,S,S,Colocación,S,20211127,,Contrato de duración determinada a tiempo completo,,
11/21,27/03/1962,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
11/21,23/08/1981,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,16/08/1972,Hombre,Estudios primarios,N,N,S,S,Intento colocación,N,,,,,
11/21,10/04/1976,Mujer,Estudios primarios,N,N,N,S,Alta,N,,,,,
11/21,16/02/1969,Mujer,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
11/21,09/06/1970,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,09/05/1975,Mujer,Estudios secundarios,N,S,N,S,Intento colocación,N,,,,,
11/21,14/11/1967,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
11/21,22/01/1969,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,14/01/1971,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,28/02/1967,Mujer,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,13/04/1977,Hombre,Estudios secundarios,S,N,N,S,Alta,N,,,,,
11/21,07/09/1968,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,08/09/1976,Mujer,Estudios secundarios,N,S,N,S,Alta,N,,,,,
11/21,24/03/1975,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,04/02/1966,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,23/08/1976,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
11/21,21/05/1976,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,10/02/1964,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,18/09/1980,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
11/21,18/09/1980,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,10/08/1973,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,09/04/1987,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
